留言编号,答复意见,first,end,f_first,f_end,f_complete,可解释性词
3685,网友“UU0082204”您好！您的留言已收悉。现将有关情况回复如下：经查，该处属原大托村四维企业用地（集体建设用地），涉及5个村民小组108.33亩。1993年西地省营养食品开发中心租用原大托村5个村民小组108.33亩耕地开办大托养殖场，并用该地块的使用权证抵押，向中国农业银行贷款600万元，由于经营不善于1999年宣布破产。截至2001年11月，食品中心欠贷款本息共计1342万。银行通过省高院将此笔债权拍卖给西地省汉文发展有限公司（上述108.33亩土地权属归该公司），由该公司支付一笔耕地征收补偿款给原大托村，但截至目前，该公司未能支付任何征收补偿款，该地一直处于闲置状态，村委会每年还需支付给村民小组24万租金。经多次与该公司协商，同意暂将该地块交由原村委会使用，解决原大托村组租金问题。为盘活集体经济，减少村委会租金压力，2015年至2016年，原大托村多次召开三长代表大会、党员大会，同意并支持租给本村陈某建设仓储使用。陈某在办理规划许可证等相关手续后将该地作为仓储物流，村民组每年土地租金均已支付到位。感谢您对我们工作的支持、理解与监督！2019年2月21日,网友“UU0082204”您好 您的留言已收悉,村民组每年土地租金均已支付到位 感谢您对我们工作的支持 理解与监督 2019年2月21日,完整,完整,已解决,"['经查', '由于', '宣布', '通过', '但', '目前', '协商', '原', '为', '规划']"
3692,网友“UU008829”您好！您的留言已收悉。现将有关情况回复如下：经A5区人防办、洞井街道调查核实，根据[政府发文][2014]247号文件批复鄱阳d区安置房工程，地上建筑面积106712平方米，地下车库面积20004平方米。2014年，鄱阳村安置房三期启动建设，2014年12月1日，鄱阳村向A市人防办申请人防工程施工图设计审查，经审查，鄱阳村安置小区一期a、b区、二期c区已建，需补办人防手续，按长人防发[2014]7号文件要求，鄱阳村三期平方米，鄱阳村安置小区一期a、b区、二期平方米。根据《A市结合民用建筑修建防空地下室审批表》，该项目折算后的人防总面积为15285.5平方米。经鄱阳村综合考虑，三期地下室总面积20004平方米，足够建设人防工程，且更节约资金，所以按人防办批复意见实施建设人防15285.5平方米。感谢您对我们工作的支持、理解与监督！2019年1月15日,网友“UU008829”您好 您的留言已收悉,5平方米 感谢您对我们工作的支持 理解与监督 2019年1月15日,完整,完整,已解决,"['根据', '审查', '要求', '根据', '为', '所以', '按']"
3700,网友“UU00877”您好！您的留言已收悉。现将有关情况回复如下：经查，A4区政府已责成区市政局牵头，区城乡建设局、区规划分局配合进行具体选址，招标（邀标）进行方案设计等，尽快启动万国城小区人行天桥建设并投入使用，方便出行。感谢您对我们工作的支持、理解与监督！2019年1月8日,网友“UU00877”您好 您的留言已收悉,方便出行 感谢您对我们工作的支持 理解与监督 2019年1月8日,完整,完整,已解决,"['经查', '规划']"
3704,网友“UU0081480”您好！您的留言已收悉。现将有关情况回复如下：经查，您所反映的相关警情，已由银盆岭派出所立刑事案件侦查，案件正在侦办中。感谢您对我们工作的支持、理解与监督！2018年12月29日,网友“UU0081480”您好 您的留言已收悉,案件正在侦办中 感谢您对我们工作的支持 理解与监督 2018年12月29日,完整,完整,已解决,['经查']
3713,网友“UU0081227”您好！您的留言已收悉。现将有关情况回复如下：261路公交车全程24公里，配车20台，高峰期发车间距为7-8分钟/趟，平峰为10-15分钟/趟，经查看近期发车时刻表，其发车间隔正常。由于驾驶员工作时间长，劳动强度大，造成车队驾驶员短缺，公司正在积极组织调配人员充实该线路运力，公司人事部正在积极进行驾驶员招募工作，条件具备后将增加该线路配车。感谢您对我们工作的支持、理解与监督！2019年1月8日,网友“UU0081227”您好 您的留言已收悉,条件具备后将增加该线路配车 感谢您对我们工作的支持 理解与监督 2019年1月8日,完整,完整,已解决,"['为', '为', '查看', '由于', '造成', '条件']"
3720,"网友“UU008444”您好！您的留言已收悉。现将有关情况回复如下：经查，新开铺路（绕城高速—C5市路）道路工程，系2015年市、区重点工程，全长3080米，宽46米。于2015年4月进场施工，2016年年底实现全线通车，2017年5月16日对已完成工程进行了预验收。新开铺路披塘路口加油站隶属部队，新开铺启动建设后即停止运营。2017年3月20日，A2区城建投与部队有关方面签订了《国有土地房屋征收补偿协议》，完成市、区两级征收部门备案工作，已按协议要求支付90的补偿款。为妥善解决新开铺路军事用地位置安全隐患问题，2018年A2区相关部门两次致函部队，并多次前往协商拆迁腾地事宜。军事用地地块拆迁方案经部队有关方面审批后方可进行道路施工。关于您提出的“披塘路路口两端各拆除20米中间花坛，借用南往北一个车道，中间用护栏隔开”的建议，根据项目现场实际情况，将积极与军方沟通协调，尽量拓宽披塘路口路面，提高道路通行能力，消除安全隐患；同时积极与交警部门对接，根据现场环境和车流量等因素，制定合理的交通分流方案：对披塘路口两端中央花坛各拆除20米,进行缩短改造成临时路面，保证该路段从北往南路幅有两车道可供通行;将加油站未施工范围采用围挡隔离，围挡上贴好反光标识，安装道路反光、警告等标识标牌，缓解道路通行压力，确保人流、车流安全通行。下一步，A2区相关部门将继续跟进加油站拆迁腾地审批工作，并力争在完成腾地后一月内完成工程扫尾，实现全线竣工通车。感谢您对我们工作的支持、理解与监督！2019年2月18日",网友“UU008444”您好 您的留言已收悉,实现全线竣工通车 感谢您对我们工作的支持 理解与监督 2019年2月18日,完整,完整,已解决,"['经查', '即', '协议', '按', '协议', '要求', '为', '协商', '方案', '审批', '根据', '同时', '根据', '方案', '确保', '审批']"
3727,网友“UU0081194”您好！您的留言已收悉。现将有关情况回复如下：因您未留下联系方式及投诉的相关证据材料，市工商局无法根据您提供的信息进行投诉信息的登记分送和处理。您可直接拨打我局消费者投诉举报热线0731-12315进行反映。感谢您对我们工作的支持、理解与监督！2018年12月28日,网友“UU0081194”您好 您的留言已收悉,12315进行反映 感谢您对我们工作的支持 理解与监督 2018年12月28日,完整,完整,已解决,"['因', '根据']"
3733,网友“UU008706”您好！您的留言已收悉。现将有关情况回复如下：梅溪湖一期引进A市图书馆分馆，位于梅溪湖创新中心，已开馆营业。梅溪湖二期金菊路与雪松路东南角规划有西地省图书馆新馆，目前正在进行前期筹备工作，具体开馆时间待定。感谢您对我们工作的支持、理解与监督！2019年1月9日,网友“UU008706”您好 您的留言已收悉,具体开馆时间待定 感谢您对我们工作的支持 理解与监督 2019年1月9日,完整,完整,已解决,"['规划', '目前']"
3747,网友“UU008201”您好！您的留言已收悉。现将有关情况回复如下：接到您的投诉后，A3区城管执法中队于2019年1月2日晚至A3区国家大学科技城（东鹤）安置小区一期核实情况。据查，施工单位由于需要夜间连续作业，已办理《建筑工程夜间施工登记证明》。A3区城管执法中队已告知施工方需降低噪音，文明施工，尽量不要影响到附近住户的休息。感谢您对我们工作的支持、理解与监督！2019年1月7日,网友“UU008201”您好 您的留言已收悉,尽量不要影响到附近住户的休息 感谢您对我们工作的支持 理解与监督 2019年1月7日,完整,完整,已解决,"['核实', '据查', '由于', '证明']"
3755,网友“UU0081681”您好！您的留言已收悉。现将有关情况回复如下：每个地区情况不尽相同，而三张卡涉及三个或三个以上不同机构，需三方或三方以上不同机构商讨并配合逐步完善。目前，我市的该项工作正在积极推进中。感谢您对我们工作的支持、理解与监督！2018年12月28日,网友“UU0081681”您好 您的留言已收悉,我市的该项工作正在积极推进中 感谢您对我们工作的支持 理解与监督 2018年12月28日,完整,完整,已解决,"['而', '目前']"
3756,网友“UU0081681”您好！您的留言已收悉。现将有关情况回复如下：目前，潇楚支付公司正在进行“潇楚一卡通”app及nfc虚拟潇楚卡的开发工作，上线计划已在部署，具体上线时间请关注潇洒支付公司官网、“潇楚一卡通”微信公众号。若您需要了解更多潇洒卡其他内容，可致电0731-0000-00000000。感谢您对我们工作的支持、理解与监督！2019年1月3日,网友“UU0081681”您好 您的留言已收悉,00000000 感谢您对我们工作的支持 理解与监督 2019年1月3日,完整,完整,已解决,"['目前', '部署', '若', '了解', '其他']"
3760,网友“UU0081500”您好！您的留言已收悉。现将有关情况回复如下：据查，中南袜业园项目系A9市重点招商项目，于2017年8月经审批同意，并在A9市发改局进行了企业投资项目备案登记。2017年9月12日，北盛镇人民政府在前期广泛上户征得村民签字同意的基础上，组织泉水村委会及项目所在地（塘下组、桥北组）村民召开组民大会，介绍了项目情况并详细解读了土地补偿政策。2017年12月28日，北盛镇人民政府与塘下组、桥北组签订了土地补偿协议，并按协议达成的意见支付了补偿费用。2018年11月，在办理项目农村集体经营性建设用地入市手续时，再次征求了村民意见。目前，项目未正式启动建设，仅对围墙基础工程进行了部分清表。下一步，A9市有关职能部门和项目建设单位将按照法律、政策规定进一步完善相关手续，确保项目依法依规建设。如您还有其他疑问，欢迎拨打北盛镇人民政府电话0731-0000-00000000进行咨询。感谢您对我们工作的支持、理解与监督！2019年1月4日,网友“UU0081500”您好 您的留言已收悉,00000000进行咨询 感谢您对我们工作的支持 理解与监督 2019年1月4日,完整,完整,已解决,"['据查', '政策', '协议', '按', '协议', '目前', '仅', '按照', '法律', '政策', '规定', '进一步', '确保', '依法', '依规', '如', '还有', '其他']"
3762,网友“UU0081057”您好！您的留言已收悉。现将有关情况回复如下：根据对A5区石坝路马王堆路口交通标志标线实地考察后，市交警支队初步研究认为：根据《中华人民共和国道路交通安全法实施条例》第三十八条第一款第三项“红灯亮时，禁止车辆通行”之规定，左转弯信号灯为红灯时，禁止车辆越过停止线行驶。如您对处罚结果有异议，可向当地交警部门申请复议。感谢您对我们工作的支持、理解与监督！2019年1月9日,网友“UU0081057”您好 您的留言已收悉,可向当地交警部门申请复议 感谢您对我们工作的支持 理解与监督 2019年1月9日,完整,完整,已解决,"['根据', '研究', '认为', '根据', '规定', '为', '如', '结果']"
3777,网友“UU008162”您好！您的留言已收悉。现将有关情况回复如下：目前，市城乡规划局正在编制《A市轨道交通线网规划修编规划》，对于您的意见和建议，将予以充分论证研究。感谢您对我们工作的支持、理解与监督！2019年1月15日您好，非常感谢您对于A市轨道交通的关注。A市轨道线网规划方案目前还在研究阶段，本阶段主要是结合新的城市总体规划对原线网结构、线网密度相应进行调整，尚未到具体的线站位研究阶段。我们将积极采纳您的建议，在后续的规划阶段予以深入研究。,网友“UU008162”您好 您的留言已收悉,尚未到具体的线站位研究阶段 我们将积极采纳您的建议 在后续的规划阶段予以深入研究 ,完整,不完整,已解决,"['目前', '规划', '规划', '论证', '研究', '规划', '方案', '目前', '研究', '主要', '研究', '规划']"
3788,网友“UU0081604”您好！您的留言已收悉。现将有关情况回复如下：目前，A市住房公积金管理中心不支持非本中心的缴存人以及异地商业银行贷款申请办理商转公业务。感谢您对我们工作的支持、理解与监督！2018年12月26日,网友“UU0081604”您好 您的留言已收悉,A市住房公积金管理中心不支持非本中心的缴存人以及异地商业银行贷款申请办理商转公业务 感谢您对我们工作的支持 理解与监督 2018年12月26日,完整,完整,已解决,['目前']
3791,网友“UU008694”您好！您的留言已收悉。现将有关情况回复如下：东六线（楚府东路—机场高粟）道路工程全长5.8公里，其中楚府路—劳动东路段长度3.8公里，预计2019年4月30日基本具备通车条件；劳动路—机场高粟段长度2公里，已完成约800米路基，其余路段因涉及到国有土地（正钢机械厂，星沙机床厂等）征拆问题，暂未启动施工。目前，市城投集团正在积极与A7县进行对接，请求加大拆迁力度，力争2019年年底达到通车条件。感谢您对我们工作的支持、理解与监督！2018年12月28日,网友“UU008694”您好 您的留言已收悉,力争2019年年底达到通车条件 感谢您对我们工作的支持 理解与监督 2018年12月28日,完整,完整,已解决,"['其中', '预计', '条件', '因', '目前', '条件']"
3797,网友“UU008765”您好！您的留言已收悉。现将有关情况回复如下：据查，您反映的茶场村公路为茶场村的白云路延长线。白云路延长线规划为西接已建成的白云路，东接茶场村大奥岭，楚江新区投资集团公司已办理该路段用地红线手续，原拟2018年7月份启动拆迁，因政府投资计划调整，该项目已暂停。至今，白云路项目未纳入2019年征拆计划，预计2019年不会启动白云路项目的征拆。目前，正在进行的景区西大门拆迁项目，涉及茶场村五、六组部分用地，街道正在按用地单位办理的国土手续进行征拆工作。感谢您对我们工作的支持、理解与监督！2018年12月27日,网友“UU008765”您好 您的留言已收悉,街道正在按用地单位办理的国土手续进行征拆工作 感谢您对我们工作的支持 理解与监督 2018年12月27日,完整,完整,已解决,"['据查', '为', '规划', '为', '因', '预计', '目前', '按']"
3838,网友“UU0082119”您好！您的留言已收悉。现将有关情况回复如下：经查，洋湖街道工委、办事处已于2016年11月11日至11月20日对洋湖村自拆迁以来所有拆迁项目的财务进行了彻查，当时清查结果按公开、公正的原则进行了公示。洋湖村2008年至2016年11月20日所有拆迁项目共计21个，包含您反映的大队部、木工厂、潇楚被服有限公司、学校、水面、粮田及荒坪野地等所有集体资产，共计征地补偿款0000-00000000.04元，其中到组土地费，洋湖景园、洋湖和园分房贺喜费，支付林美公司门店费用总计支出0000-00000000.25元，洋湖村结余资金0000-00000000.79元（其中村集体资产0000-00000000.1元，提取到村集体的土地费0000-00000000.69元）。目前，洋湖村集体资产共计两块，一是土地费，二是村级举办的西地省洋兴置业公司。土地费情况：截止到2018年11月30日，洋湖村在街道经管站账户内集体资产金额为0000-00000000.59元，其中定存8800万元，活期存款4952609.59元。西地省洋兴置业公司运转情况：西地省洋兴置业公司共计投入资金2000万元，到2018年11月30日银行存款活期余额为67.65万元，定存A市银行恒泰支行900万元，前期外借款900万元，生态停车场和连塘夜宵美食城前期共投入365万元，目前已通过收缴租金收回成本将近180万元。截至2018年11月30日，西地省洋兴置业公司共计资产总额为0000-00000000元。2016年11月至今，洋湖村村级财务一直在洋湖街道管理之下，目前村级集体资产共计0000-00000000.59元，未出现任何违规管理、集体资产流失情况。感谢您对我们工作的支持、理解与监督！2019年1月2日,网友“UU0082119”您好 您的留言已收悉,集体资产流失情况 感谢您对我们工作的支持 理解与监督 2019年1月2日,完整,完整,已解决,"['经查', '当时', '结果', '按', '公示', '其中', '其中', '目前', '一是', '二是', '其中', '为', '目前', '通过', '为', '目前']"
3848,网友“UU008233”您好！您的留言已收悉。现将有关情况回复如下：经查，干洗店位于梅溪湖街道佳兆业云顶小区第31地块地下室负壹层-130号，属纯商业门面，开发商为西地省业达房地产开发有限公司，物业管理公司为佳兆业物业管理（深圳）有限公司A市分公司，干洗店名称为A市A3区那么好干洗店，已办理好营业执照，现正在装修中，门店已安装排污管道，排污管道由开发商规划建设，排污管道污水进市政排污管道。下一步，街道将加大巡查监管力度，要求干洗设备必须符合环保要求，污水必须进排污管道。感谢您对我们工作的支持、理解与监督！2018年12月24日,网友“UU008233”您好 您的留言已收悉,污水必须进排污管道 感谢您对我们工作的支持 理解与监督 2018年12月24日,完整,完整,已解决,"['经查', '为', '为', '那么', '规划', '巡查', '要求', '必须', '符合', '要求', '必须']"
3871,网友“UU0082278”您好！您的留言已收悉。现将有关情况回复如下：经查，“怡海星城”原属A7县审批项目，2008年3月18日通过A7县规划局修建详细规划批复。一期于2009年3月10日、二期于2010年6月25日、三期于2013年12月11日分别通过A7县规划局审批。在1-3期用地范围内分别于2010年7月29日，2011年1月30日通过A7县主管部门批准建设了民办怡雅小学和怡雅中学。2015年1月“怡海星城”通过区划调整由A7县并入A2区后，区教育局就针对“怡海星城”小区内小学生就读公办学校事宜，按照义务制教育阶段学生“相对就近，免试入学”的入学基本原则，已安排小区学生在西湖小学就读小学，中学属于青雅丽发学校、明德启南中学、楚府中学三所学校微机派位学区范围。A2区历来对教育工作都很重视，自暮云片区并入A2区后，对于开发楼盘达到配置标准的，如丽发新城、福天藏郡等，A2区教育局严格按《A市城市中小学校幼儿园规划建设管理条例》和长政发[2018]6号文件精神，均要求开发商认真履行并落实义务教育配套责任，配套建设相应规模的公办学校。目前怡海星城四期项目正在报建审批，A2区教育局已严格按照相关规定，要求怡海星城四期楼盘开发时教育设施必须与住宅建设同步规划、同步设计、同步建设、同步验收、同步交付使用。感谢您对我们工作的支持、理解与监督！2019年1月5日,网友“UU0082278”您好 您的留言已收悉,同步交付使用 感谢您对我们工作的支持 理解与监督 2019年1月5日,完整,完整,已解决,"['经查', '审批', '通过', '规划', '通过', '审批', '通过', '批准', '通过', '针对', '按照', '相对', '规划', '要求', '目前', '审批', '按照', '规定', '要求', '必须', '规划']"
3877,网友“UU00840”您好！您的留言已收悉。现将有关情况回复如下：经与壹廷物业了解到，汇富中心前坪并无自动停车收费系统，为人工记录停车时间，但是有监控录像记录车辆出入。经调查12月11日监控记录，该车俩进入汇富中心前坪停车时间为上午8点37分33秒，离开时间为上午8点48分30秒，总计停车时间为11分钟左右，并未超过15分钟（收费标准为15分钟之内免费），保安人员记录时间与该车实际停车时间存在一定出入，后未收取停车费。事发当天上午，壹廷物业经理已召集保安人员开会，对当班人进行了批评教育，要求提高物业工作人员业务水平，纠正当班人的服务态度，争取不再发生类似的事情。下一步，侯家塘街道、社区物业专干继续加强对物业公司动态巡查，督促物业公司搞好服务、提升工作人员业务水平，杜绝类似事件发生。感谢您对我们工作的支持、理解与监督！2019年1月2日,网友“UU00840”您好 您的留言已收悉,杜绝类似事件发生 感谢您对我们工作的支持 理解与监督 2019年1月2日,完整,完整,已解决,"['了解', '为', '记录', '但是', '记录', '调查', '记录', '为', '为', '为', '为', '要求', '争取', '巡查']"
3878,网友“UU008355”您好！您的留言已收悉。现将有关情况回复如下：一、关于收取服务费用、捆绑销售车位的问题。开发商违规销售行为一直是我区的打击重点，您可拨打区住保局电话提供详细信息（联系方式：0000-00000000）。A6区住保局将联合区发改局、食药工商质监局等部门进行调查了解，维护您的合法权益。二、关于购房资格的问题。自2017年3月以来，A6区严格落实市委、市政府关于加强房地产市场监管调控的要求，购房资格认定先后经历了2017年“3•18”“5•20”“9•23”及2018年“6•25”等政策变化，购房资格审批权限也随着房地产市场政策变化进行了调整，在购房资格认定上不排除出现反复的情形。请您与A6区住保局联系并提供详细信息，区住保局将就购房资格认定按政策给您确切答复。三、关于退房的问题。在A6区住保局督促下，开发商已承诺，若经认定后，您没有购房资格，开发商将为您办理退房、退车位手续。若您愿意，开发商也可以为您保留该套房产。感谢您对我们工作的支持、理解与监督！2019年2月26日,网友“UU008355”您好 您的留言已收悉,开发商也可以为您保留该套房产 感谢您对我们工作的支持 理解与监督 2019年2月26日,完整,完整,已解决,"['调查', '了解', '要求', '认定', '政策', '审批', '随着', '政策', '认定', '认定', '按', '政策', '认定', '为', '若', '为']"
